00 0
00 1
00 2
00 3
00 4
00 5
00 6
00 8
00 Data was recorded 60 times per second
00 Date and Time: 2/10/2020 10:14:55 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):66395.94  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):70827.31 force plate (fx, fy, fz, mx, my, mz):0.3085651,0.1672115,0.05834961,0.06488037,0.007141113,-0.07574368
01 timestamp(ms):70858.44 force plate (fx, fy, fz, mx, my, mz):-0.01262856,-0.07799339,0.4318848,0.07611084,0.05880737,-0.02515984
01 timestamp(ms):70891.44 force plate (fx, fy, fz, mx, my, mz):-0.350256,-0.08265305,0.05688477,-0.02746582,-0.02398682,-0.1188765
01 timestamp(ms):70924.59 force plate (fx, fy, fz, mx, my, mz):-0.01837349,0.1697044,0.2453613,0.01330566,0.025177,0.01694393
01 timestamp(ms):70957.85 force plate (fx, fy, fz, mx, my, mz):-0.01549721,-0.0766716,0.2453613,0.02453613,0.02532959,-0.02473354
01 timestamp(ms):70991.77 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):71039.02 force plate (fx, fy, fz, mx, my, mz):0.3095875,-0.0776844,-0.1281738,0.02435303,0.04031372,-0.1171532
01 timestamp(ms):71062.98 force plate (fx, fy, fz, mx, my, mz):0.3095875,-0.0776844,-0.1281738,0.02435303,0.04031372,-0.1171532
01 timestamp(ms):71090.59 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):71124.41 force plate (fx, fy, fz, mx, my, mz):-0.01328087,-0.07703781,0.2434082,0.02392578,-0.04116821,-0.02465248
01 timestamp(ms):71158.63 force plate (fx, fy, fz, mx, my, mz):-0.3557911,-0.08206558,0.2424316,0.02416992,-0.05731201,-0.0344677
01 timestamp(ms):71191.93 force plate (fx, fy, fz, mx, my, mz):-0.0261898,0.1612225,-0.1291504,0.01287842,-0.04220581,-0.1698875
01 timestamp(ms):71225.36 force plate (fx, fy, fz, mx, my, mz):-0.01725578,0.1672115,-0.3181152,0.06378174,-0.00881958,0.01640224
01 timestamp(ms):71257.23 force plate (fx, fy, fz, mx, my, mz):0.3065586,-0.3239841,-0.3171387,0.08648682,0.006652832,-0.07455921
01 timestamp(ms):71291.05 force plate (fx, fy, fz, mx, my, mz):-0.01328087,-0.07703781,0.2434082,0.02392578,-0.04116821,-0.02465248
01 timestamp(ms):71325.05 force plate (fx, fy, fz, mx, my, mz):-0.3405972,-0.07505417,0.05493164,-0.02844238,-0.02359009,0.06789875
01 timestamp(ms):71358.23 force plate (fx, fy, fz, mx, my, mz):-0.341692,-0.07778358,0.05639648,0.0758667,0.04290771,0.06706429
01 timestamp(ms):71390.9 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):71423.81 force plate (fx, fy, fz, mx, my, mz):-0.338377,-0.07542801,0.05395508,-0.02905273,-0.09008789,0.06797886
01 timestamp(ms):71459.38 force plate (fx, fy, fz, mx, my, mz):-0.01550102,-0.07606697,-0.317627,-0.02862549,-0.008605957,-0.02452087
01 timestamp(ms):71483.17 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):71521.34 force plate (fx, fy, fz, mx, my, mz):-0.01761246,-0.07895279,-0.3173828,0.0760498,-0.008605957,-0.0251956
01 timestamp(ms):71547.24 force plate (fx, fy, fz, mx, my, mz):-0.01328087,-0.07703781,0.2434082,0.02392578,-0.04116821,-0.02465248
01 timestamp(ms):71571.35 force plate (fx, fy, fz, mx, my, mz):-0.3483982,-0.08413315,0.2434082,0.02441406,-0.05700684,-0.1191444
01 timestamp(ms):71595.49 force plate (fx, fy, fz, mx, my, mz):0.314846,-0.317646,-0.1318359,0.1383057,-0.02587891,0.1120257
01 timestamp(ms):71620.27 force plate (fx, fy, fz, mx, my, mz):0.3178787,-0.07135582,0.05810547,0.07623291,0.007720947,0.06943083
01 timestamp(ms):71657.06 force plate (fx, fy, fz, mx, my, mz):-0.01502609,-0.07880974,0.05615234,0.07611084,-0.074646,-0.02497816
01 timestamp(ms):71682.59 force plate (fx, fy, fz, mx, my, mz):-0.3445683,0.1685925,0.05639648,0.06463623,0.04275513,0.1087418
01 timestamp(ms):71706.05 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):71730.13 force plate (fx, fy, fz, mx, my, mz):-0.3483982,-0.08413315,0.2434082,0.02441406,-0.05700684,-0.1191444
01 timestamp(ms):71768.94 force plate (fx, fy, fz, mx, my, mz):-0.0153923,-0.079319,-0.3183594,0.07543945,-0.07510376,-0.02511549
01 timestamp(ms):71792.65 force plate (fx, fy, fz, mx, my, mz):0.3165913,-0.3158741,0.05541992,0.08612061,0.007598877,0.1123514
01 timestamp(ms):71816.55 force plate (fx, fy, fz, mx, my, mz):-0.02553368,-0.08477974,-0.1281738,0.02484131,0.0244751,-0.2116451
01 timestamp(ms):71841.03 force plate (fx, fy, fz, mx, my, mz):0.3114414,-0.07916451,0.05834961,0.07611084,0.007293701,-0.1174212
01 timestamp(ms):71879.98 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):71918.65 force plate (fx, fy, fz, mx, my, mz):-0.01328087,-0.07703781,0.2434082,0.02392578,-0.04116821,-0.02465248
