00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):65862.19 force plate (fx, fy, fz, mx, my, mz):1.551311,0.4102116,-0.2297363,1.181396,0.9270935,0.004328728
01 timestamp(ms):65884.42 force plate (fx, fy, fz, mx, my, mz):1.53031,0.4113865,-0.9707031,1.188416,1.657928,-0.08142376
01 timestamp(ms):65906.49 force plate (fx, fy, fz, mx, my, mz):1.869032,0.4187717,-0.5961914,1.1875,1.674255,0.01312637
01 timestamp(ms):65928.84 force plate (fx, fy, fz, mx, my, mz):1.865431,0.4184742,-0.9707031,1.187805,1.673798,0.0130682
01 timestamp(ms):65951.4 force plate (fx, fy, fz, mx, my, mz):1.53031,0.4113865,-0.9707031,1.188416,1.657928,-0.08142376
01 timestamp(ms):65973.09 force plate (fx, fy, fz, mx, my, mz):1.534929,0.1667843,-0.7836914,1.147461,1.691589,-0.1227751
01 timestamp(ms):65995.76 force plate (fx, fy, fz, mx, my, mz):1.527719,0.4253502,0.5344238,1.092102,2.259033,0.0212574
01 timestamp(ms):66017.55 force plate (fx, fy, fz, mx, my, mz):1.53409,0.6681786,0.7214355,1.133118,2.226135,-0.0220108
01 timestamp(ms):66040.02 force plate (fx, fy, fz, mx, my, mz):1.534567,0.1797714,1.28418,1.103699,2.260101,-0.02022552
01 timestamp(ms):66062.27 force plate (fx, fy, fz, mx, my, mz):1.201368,0.4168396,0.9104004,1.09314,2.310425,-0.1579332
01 timestamp(ms):66084.16 force plate (fx, fy, fz, mx, my, mz):0.8375683,0.6760368,0.171875,0.7806396,3.358154,-0.1078634
01 timestamp(ms):66106.54 force plate (fx, fy, fz, mx, my, mz):1.157778,0.4295998,-0.01416016,0.8438721,3.406494,-0.1576328
01 timestamp(ms):66129.15 force plate (fx, fy, fz, mx, my, mz):1.171957,0.6815147,-0.01513672,0.8319092,3.407043,-0.01385689
01 timestamp(ms):66152 force plate (fx, fy, fz, mx, my, mz):1.173449,0.6789207,0.3598633,0.9361572,3.407501,-0.01447392
01 timestamp(ms):66173.19 force plate (fx, fy, fz, mx, my, mz):1.177958,0.9232216,0.3608398,0.9251709,3.407623,-0.05747318
01 timestamp(ms):66195.55 force plate (fx, fy, fz, mx, my, mz):0.8166809,0.6885014,0.1833496,0.7904663,4.688751,-0.007524967
01 timestamp(ms):66217.93 force plate (fx, fy, fz, mx, my, mz):0.489481,0.6872406,-0.004638672,0.8422852,4.639832,0.08443451
01 timestamp(ms):66240.07 force plate (fx, fy, fz, mx, my, mz):0.4798145,0.6796341,-0.003662109,0.8431396,4.639465,-0.1023426
01 timestamp(ms):66262.59 force plate (fx, fy, fz, mx, my, mz):0.8145657,0.6862259,-0.3781738,0.842041,4.654816,-0.007987976
01 timestamp(ms):66284.57 force plate (fx, fy, fz, mx, my, mz):0.4772243,0.6794968,-0.3771973,0.8432617,4.705505,-0.10256
01 timestamp(ms):66306.66 force plate (fx, fy, fz, mx, my, mz):0.1261272,0.7179585,-0.3649902,-0.07946777,5.888062,0.01248789
