00 Gib
00 HideTextandButton
00 Data was recorded 60 times per second
00 Date and Time: 11/30/2023 5:12:23 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):38833.76  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):43376.38 force plate (fx, fy, fz, mx, my, mz):0.2822056,0.07980347,-0.4880371,0.02532959,-0.02630615,0.1251135
01 timestamp(ms):43411.32 force plate (fx, fy, fz, mx, my, mz):0.2825699,0.08031082,-0.1125488,0.02581787,-0.02575684,0.1252503
01 timestamp(ms):43445.55 force plate (fx, fy, fz, mx, my, mz):0.275425,-0.1747742,0.07885742,0.09051514,0.007446289,-0.1035533
01 timestamp(ms):43485.05 force plate (fx, fy, fz, mx, my, mz):0.275425,-0.1747742,0.07885742,0.09051514,0.007446289,-0.1035533
01 timestamp(ms):43533.28 force plate (fx, fy, fz, mx, my, mz):0.2854462,-0.1660652,-0.1105957,0.03704834,-0.02560425,0.08357286
01 timestamp(ms):43567.31 force plate (fx, fy, fz, mx, my, mz):-0.04803467,0.317524,-0.1105957,0.01544189,-0.04147339,-0.01224089
01 timestamp(ms):43600.77 force plate (fx, fy, fz, mx, my, mz):-0.04719734,-0.1697617,0.2634277,-0.06634521,-0.04095459,-0.01010799
01 timestamp(ms):43642.13 force plate (fx, fy, fz, mx, my, mz):-0.05217743,0.07433319,-0.3010254,-0.02606201,-0.07510376,0.03110647
01 timestamp(ms):43684.14 force plate (fx, fy, fz, mx, my, mz):-0.3915539,-0.1733093,0.07495117,-0.117981,-0.02407837,-0.01965332
01 timestamp(ms):43719.6 force plate (fx, fy, fz, mx, my, mz):0.2684021,-0.1715965,-0.1105957,0.03778076,-0.02627563,-0.01852751
01 timestamp(ms):43758.71 force plate (fx, fy, fz, mx, my, mz):0.271431,0.07530212,-0.4855957,-0.07745361,-0.02664185,-0.0609107
01 timestamp(ms):43799.6 force plate (fx, fy, fz, mx, my, mz):-0.0497818,-0.169899,-0.111084,-0.06640625,0.02508545,-0.01032543
01 timestamp(ms):43841.75 force plate (fx, fy, fz, mx, my, mz):-0.3784714,0.07587051,0.07348633,-0.02563477,0.04293823,0.1232872
01 timestamp(ms):43875.28 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):43912.15 force plate (fx, fy, fz, mx, my, mz):0.284317,0.08208466,0.07446289,-0.02636719,0.007751465,0.125576
01 timestamp(ms):43951.83 force plate (fx, fy, fz, mx, my, mz):0.2757874,-0.1736641,-0.1086426,0.0380249,-0.02600098,-0.1032043
01 timestamp(ms):43996.11 force plate (fx, fy, fz, mx, my, mz):0.2746658,0.07448578,0.07641602,-0.02539063,0.007354736,-0.0612011
01 timestamp(ms):44032.39 force plate (fx, fy, fz, mx, my, mz):0.284317,0.08208466,0.07446289,-0.02636719,0.007751465,0.125576
01 timestamp(ms):44085.12 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44123.7 force plate (fx, fy, fz, mx, my, mz):-0.04930687,-0.1726456,0.263916,0.03833008,-0.04101563,-0.01078272
01 timestamp(ms):44154.77 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44189.65 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44223.45 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):44255.65 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44294.2 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):44325.3 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):44354.99 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):44400.13 force plate (fx, fy, fz, mx, my, mz):-0.05152893,-0.1716728,-0.2980957,-0.01422119,-0.008422852,-0.01065111
01 timestamp(ms):44435.45 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44470.81 force plate (fx, fy, fz, mx, my, mz):-0.3895187,0.06760788,-0.2990723,-0.02496338,-0.02444458,-0.06346369
01 timestamp(ms):44509.8 force plate (fx, fy, fz, mx, my, mz):-0.05439758,0.07470322,-0.2990723,-0.02545166,-0.008575439,0.03102636
01 timestamp(ms):44545.7 force plate (fx, fy, fz, mx, my, mz):-0.04814148,0.3207779,-0.111084,-0.08862305,0.02505493,-0.01164722
01 timestamp(ms):44586.49 force plate (fx, fy, fz, mx, my, mz):0.284317,0.08208466,0.07446289,-0.02636719,0.007751465,0.125576
01 timestamp(ms):44620.29 force plate (fx, fy, fz, mx, my, mz):0.2829361,0.0814209,-0.3010254,-0.02655029,-0.05926514,0.1255984
01 timestamp(ms):44657.67 force plate (fx, fy, fz, mx, my, mz):0.2779007,-0.1707802,-0.1101074,-0.06652832,-0.02600098,-0.1025305
01 timestamp(ms):44690.82 force plate (fx, fy, fz, mx, my, mz):0.2753963,0.07610321,0.2634277,-0.07720947,-0.02566528,-0.06071568
01 timestamp(ms):44726.01 force plate (fx, fy, fz, mx, my, mz):0.2875614,-0.163784,0.4509277,-0.01446533,0.008331299,0.08403492
01 timestamp(ms):44763.04 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):44798.14 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44834.39 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):44876.11 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):44916.15 force plate (fx, fy, fz, mx, my, mz):-0.05217743,0.07433319,-0.3010254,-0.02606201,-0.07510376,0.03110647
01 timestamp(ms):44952.7 force plate (fx, fy, fz, mx, my, mz):0.278265,-0.1702728,0.2653809,-0.065979,-0.0255127,-0.1023932
01 timestamp(ms):44994.07 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):45033.17 force plate (fx, fy, fz, mx, my, mz):-0.3783646,0.07261658,0.07299805,0.07843018,-0.02359009,0.1226926
01 timestamp(ms):45070.9 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):45108.8 force plate (fx, fy, fz, mx, my, mz):0.2721882,0.07109451,-0.2976074,0.07867432,0.00680542,-0.06201172
01 timestamp(ms):45139.76 force plate (fx, fy, fz, mx, my, mz):0.2746658,0.07448578,0.07641602,-0.02539063,0.007354736,-0.0612011
01 timestamp(ms):45174.27 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):45216.55 force plate (fx, fy, fz, mx, my, mz):-0.05003738,-0.174263,0.0769043,0.09014893,-0.007995605,-0.01126814
01 timestamp(ms):45250.15 force plate (fx, fy, fz, mx, my, mz):0.6109085,-0.1665764,-0.1086426,0.03741455,-0.01013184,-0.008712292
01 timestamp(ms):45284.71 force plate (fx, fy, fz, mx, my, mz):-0.05181313,0.07484055,0.07446289,-0.02539063,-0.07461548,0.0312438
01 timestamp(ms):45317.59 force plate (fx, fy, fz, mx, my, mz):-0.04628754,0.3192978,0.07641602,-0.03674316,-0.007965088,-0.01191521
