00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):25345.25 force plate (fx, fy, fz, mx, my, mz):-0.04535866,-0.008859634,0.2412109,0.0446167,0.07568359,-0.05574703
01 timestamp(ms):25361.24 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):25378.41 force plate (fx, fy, fz, mx, my, mz):-0.3782597,-0.01631737,0.2392578,0.04437256,-0.00668335,-0.1501598
01 timestamp(ms):25393.85 force plate (fx, fy, fz, mx, my, mz):-0.04739189,0.2364864,-0.1357422,0.0322876,-0.05795288,-0.01396847
01 timestamp(ms):25413.7 force plate (fx, fy, fz, mx, my, mz):-0.0520153,-0.004560471,-0.1362305,-0.06060791,0.008422852,0.02962589
01 timestamp(ms):25428.63 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):25443.76 force plate (fx, fy, fz, mx, my, mz):-0.04452324,-0.009889603,-0.1337891,0.04351807,-0.05780029,-0.05564594
01 timestamp(ms):25463.63 force plate (fx, fy, fz, mx, my, mz):0.2860889,-0.2471027,-0.1357422,0.05401611,-0.04205322,0.08184338
01 timestamp(ms):25479.01 force plate (fx, fy, fz, mx, my, mz):-0.04674339,-0.009523392,-0.1333008,0.04425049,0.00869751,-0.0557251
01 timestamp(ms):25494.39 force plate (fx, fy, fz, mx, my, mz):0.2855053,0.243948,-0.1342773,0.03240967,0.02438354,0.08044243
01 timestamp(ms):25509.81 force plate (fx, fy, fz, mx, my, mz):-0.3731136,-0.2530193,0.2373047,0.05438232,-0.006408691,0.07961655
01 timestamp(ms):25529.77 force plate (fx, fy, fz, mx, my, mz):-0.04950905,-0.2520504,0.05273438,0.003112793,0.04205322,-0.01239967
01 timestamp(ms):25545.16 force plate (fx, fy, fz, mx, my, mz):-0.04728508,-0.2524166,0.05126953,0.002380371,-0.02444458,-0.01232052
01 timestamp(ms):25560.58 force plate (fx, fy, fz, mx, my, mz):-0.04728508,-0.2524166,0.05126953,0.002380371,-0.02444458,-0.01232052
01 timestamp(ms):25581.83 force plate (fx, fy, fz, mx, my, mz):0.2793388,0.2398872,0.2419434,-0.07092285,0.0909729,-0.105679
01 timestamp(ms):25597.25 force plate (fx, fy, fz, mx, my, mz):-0.04786873,0.2386265,0.05273438,-0.019104,0.04202271,-0.01372147
01 timestamp(ms):25612.63 force plate (fx, fy, fz, mx, my, mz):-0.0520153,-0.004560471,-0.1362305,-0.06060791,0.008422852,0.02962589
01 timestamp(ms):25628.7 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):25644.2 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):25664.29 force plate (fx, fy, fz, mx, my, mz):-0.04277611,-0.008115768,0.05322266,-0.008605957,-0.02432251,-0.05531979
01 timestamp(ms):25679.56 force plate (fx, fy, fz, mx, my, mz):-0.04939842,-0.2552967,0.05224609,0.1069946,-0.02444458,-0.01299477
01 timestamp(ms):25694.77 force plate (fx, fy, fz, mx, my, mz):-0.05238152,-0.005674362,0.05175781,-0.008117676,0.04190063,0.0292778
01 timestamp(ms):25709.55 force plate (fx, fy, fz, mx, my, mz):0.2919788,-0.002134323,0.2412109,0.043396,0.02502441,0.03882217
