00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):80431.34 force plate (fx, fy, fz, mx, my, mz):-6.283113,-2.373592,0.3857422,-14.85034,20.65125,1.970971
01 timestamp(ms):80452.9 force plate (fx, fy, fz, mx, my, mz):-6.282747,-2.373087,0.760498,-14.84973,20.65173,1.971107
01 timestamp(ms):80475.41 force plate (fx, fy, fz, mx, my, mz):-6.285227,-2.376476,0.3862305,-14.74567,20.65121,1.970295
01 timestamp(ms):80497.55 force plate (fx, fy, fz, mx, my, mz):-6.621363,-2.383722,0.3864746,-14.74493,20.56891,1.875965
01 timestamp(ms):80519.53 force plate (fx, fy, fz, mx, my, mz):-6.940817,-2.627157,0.9460449,-14.78589,20.65405,1.926875
01 timestamp(ms):80542.52 force plate (fx, fy, fz, mx, my, mz):-6.405186,-1.9263,-0.7041016,-14.63983,22.7756,0.7599187
01 timestamp(ms):80564.03 force plate (fx, fy, fz, mx, my, mz):-6.077169,-2.163658,-1.079346,-14.62946,22.85733,0.8971915
01 timestamp(ms):80586.38 force plate (fx, fy, fz, mx, my, mz):-6.077532,-2.164768,-0.8918457,-14.57697,22.89084,0.8968425
01 timestamp(ms):80608.45 force plate (fx, fy, fz, mx, my, mz):-6.398474,-1.919949,-0.8928223,-14.58832,22.87552,0.9461265
01 timestamp(ms):80630.56 force plate (fx, fy, fz, mx, my, mz):-6.733702,-1.923782,-0.892334,-14.69177,22.92615,0.8522315
01 timestamp(ms):80653.01 force plate (fx, fy, fz, mx, my, mz):-6.134012,-2.009575,-1.999268,-12.71173,23.6185,-0.01021719
01 timestamp(ms):80674.99 force plate (fx, fy, fz, mx, my, mz):-6.142658,-2.01701,-1.999268,-12.71106,23.68457,-0.1971517
